rank,package_name,num_direct_dependents
284,@opentelemetry/semantic-conventions,24
285,got,24
286,eslint-plugin-unicorn,24
287,rollup-plugin-uglify,24
288,@tsconfig/node14,24
289,grunt-contrib-watch,24
290,@radix-ui/react-compose-refs,24
291,axios,24
292,get-stream,24
293,coffeescript,24
294,babel-preset-es2015,24
295,type-fest,24
296,@ckeditor/ckeditor5-engine,24
297,q,24
298,conventional-changelog-cli,24
299,@graphql-tools/utils,23
300,@ckeditor/ckeditor5-utils,23
301,micromark-util-symbol,23
302,@commitlint/config-angular,23
303,has-strict-mode,23
304,magic-string,23
305,http-server,23
306,gulp-rename,23
307,@babel/parser,23
308,@radix-ui/primitive,23
309,body-parser,23
310,open,23
311,inquirer,23
312,vue,23
313,make-dir,22
314,sass,22
315,@aws-sdk/smithy-client,22
316,string-width,22
317,@aws-sdk/util-utf8-browser,22
318,evalmd,22
319,@webpack-contrib/eslint-config-webpack,22
320,gulp-eslint,22
321,@aws-sdk/node-config-provider,22
322,@babel/polyfill,22
323,@types/eslint,22
324,which,22
325,@opentelemetry/core,22
326,pretty-format,22
327,reflect-metadata,21
328,lodash-es,21
329,lru-cache,21
330,@types/webpack-env,21
331,zuul,21
332,eslint-config-unjs,21
333,clean-publish,21
334,@aws-sdk/middleware-stack,21
335,html-webpack-plugin,21
336,abort-controller,21
337,yaml,21
338,cpy-cli,21
339,assert,21
340,@semantic-release/npm,21
341,enzyme-to-json,21
342,global,21
343,@types/graceful-fs,21
344,@aws-sdk/middleware-endpoint,21
345,fast-deep-equal,21
346,@aws-crypto/sha256-js,20
347,@aws-sdk/config-resolver,20
348,airtap,20
349,@aws-sdk/hash-node,20
350,karma-ie-launcher,20
351,jest-cli,20
352,dotenv,20
353,@ckeditor/ckeditor5-dev-utils,20
354,find-up,20
355,process,20
356,@types/benchmark,20
357,ts-dedent,20
358,cz-conventional-changelog,20
359,linkinator,20
360,@types/hast,20
361,@ckeditor/ckeditor5-theme-lark,20
362,@changesets/cli,20
363,form-data,20
364,camelcase,20
365,eslint-plugin-eslint-plugin,20
366,https-proxy-agent,20
367,jquery,19
368,@aws-sdk/middleware-host-header,19
369,@types/unist,19
370,@aws-sdk/middleware-content-length,19
371,@aws-crypto/sha256-browser,19
372,@ckeditor/ckeditor5-ui,19
373,requirejs,19
374,@aws-sdk/util-endpoints,19
375,@aws-sdk/invalid-dependency,19
376,@aws-sdk/middleware-logger,19
