rank,package_name,transitive_reach
220,@babel/plugin-syntax-dynamic-import,3421
221,ini,3421
222,regenerator-runtime,3421
223,currently-unhandled,3420
224,babylon,3420
225,@types/d3-scale,3420
226,postcss-initial,3420
227,@aws-sdk/credential-provider-cognito-identity,3420
228,pretty-hrtime,3420
229,@commitlint/resolve-extends,3420
230,split-on-first,3420
231,exec-sh,3420
232,find-versions,3420
233,sudo-prompt,3420
234,streamroller,3420
235,throttle-debounce,3420
236,@commitlint/execute-rule,3420
237,loud-rejection,3420
238,wait-on,3420
239,compare-versions,3420
240,ajv-errors,3420
241,markdown-table,3420
242,vscode-uri,3420
243,auto-bind,3420
244,eslint-config-airbnb,3420
245,puppeteer,3420
246,repeating,3420
247,@types/cross-spawn,3420
248,atomic-sleep,3420
249,@aws-sdk/client-cognito-identity,3420
250,@cypress/xvfb,3420
251,p-reduce,3420
252,lodash.snakecase,3420
253,@kwsites/file-exists,3420
254,eslint-config-next,3420
255,queue,3420
256,dataloader,3420
257,unist-util-remove-position,3420
258,cyclist,3420
259,hast-util-whitespace,3420
260,@types/mdx,3420
261,@types/whatwg-url,3420
262,nullthrows,3420
263,css,3420
264,p-each-series,3420
265,jest-watch-typeahead,3420
266,cookie-parser,3420
267,@types/emscripten,3420
268,to-readable-stream,3420
269,postcss-opacity-percentage,3420
270,fetch-blob,3420
271,@kwsites/promise-deferred,3420
272,process-on-spawn,3420
273,hasha,3420
274,quick-format-unescaped,3420
275,babel-plugin-syntax-trailing-function-commas,3420
276,xmlhttprequest-ssl,3420
277,set-cookie-parser,3420
278,editorconfig,3420
279,recursive-readdir,3420
280,git-raw-commits,3420
281,local-pkg,3420
282,@types/fs-extra,3420
283,getos,3420
284,@next/swc-linux-x64-gnu,3420
285,@npmcli/package-json,3420
286,ent,3420
287,url-loader,3420
288,cron-parser,3420
289,postcss-flexbugs-fixes,3420
290,@types/request,3420
291,idb,3420
292,lodash.union,3420
293,babel-preset-react-app,3420
294,@graphql-tools/graphql-tag-pluck,3420
